State,ANC_First,ANC_4,PNC_2Days,Delivery_Cost,Institutional_Delivery,CSection_Rate,Doctors_Required,Doctors_Sanctioned,Doctors_InPosition,Doctors_Vacant,Doctors_Shortfall,Specialists_Required,Specialists_Sanctioned,Specialists_InPosition,Specialists_Vacant,Specialists_Shortfall,Nursing_Required,Nursing_Sanctioned,Nursing_InPosition,Nursing_Vacant,Nursing_Shortfall,SubCentres_Rural,SubCentres_Urban,PHCs_Rural,PHCs_Urban,CHCs_Rural,CHCs_Urban,SC_Required,SC_InPosition,SC_Shortfall,SC_PctShortfall,PHC_Required,PHC_InPosition,PHC_Shortfall,PHC_PctShortfall,CHC_Required,CHC_InPosition,CHC_Shortfall,CHC_PctShortfall,MMR,CI_Lower,CI_Upper,Maternal_Mortality_Rate,Lifetime_Risk_Pct
Andaman & Nicobar Islands,77.1,83.4,88.9,2924.0,99.0,29.9,22.0,53.0,50.0,3.0,,16.0,16.0,4.0,12.0,12.0,50.0,158.0,151.0,7.0,,124.0,0.0,22.0,5.0,4.0,0.0,48.0,124.0,,,7.0,22.0,,,1.0,4.0,,,,,,,
Andhra Pradesh,81.7,67.5,90.7,3105.0,96.5,42.4,1142.0,2206.0,2048.0,158.0,,556.0,408.0,264.0,144.0,292.0,2115.0,4630.0,3949.0,681.0,,11073.0,407.0,1142.0,547.0,139.0,42.0,7078.0,11073.0,,,1167.0,1142.0,25.0,2.0,291.0,139.0,152.0,52.0,39.0,9.0,69.0,2.0,0.07
Arunachal Pradesh,53.1,36.5,56.4,9731.0,79.2,14.8,126.0,,129.0,,,228.0,,11.0,,217.0,525.0,,692.0,,,355.0,12.0,126.0,5.0,57.0,0.0,345.0,355.0,,,52.0,126.0,,,13.0,57.0,,,,,,,
Assam,63.8,50.7,65.3,5415.0,84.1,18.1,920.0,1617.0,1381.0,236.0,,688.0,267.0,179.0,88.0,509.0,2124.0,3484.0,3563.0,,,4667.0,34.0,920.0,90.0,172.0,29.0,6546.0,4667.0,1879.0,29.0,1068.0,920.0,148.0,14.0,267.0,172.0,95.0,36.0,84.0,35.0,134.0,5.0,0.17
Bihar,52.9,25.2,57.3,2848.0,76.2,9.7,1492.0,3595.0,1538.0,2057.0,,1076.0,1281.0,322.0,959.0,754.0,3375.0,8223.0,4956.0,3267.0,,9375.0,1024.0,1492.0,268.0,269.0,32.0,22238.0,9375.0,12863.0,58.0,3698.0,1492.0,2206.0,60.0,924.0,269.0,655.0,71.0,96.0,62.0,130.0,9.0,0.32
Chandigarh,82.3,78.7,90.6,5546.0,96.9,31.3,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,43.0,0.0,2.0,,,,,,,,,,,,,,,,,
Chhattisgarh,65.7,60.1,84.0,1833.0,85.7,15.2,770.0,967.0,491.0,476.0,279.0,668.0,616.0,66.0,550.0,602.0,1939.0,4233.0,3144.0,1089.0,,5124.0,370.0,770.0,52.0,167.0,3.0,5454.0,5124.0,330.0,6.0,864.0,770.0,94.0,11.0,216.0,167.0,49.0,23.0,124.0,48.0,199.0,9.0,0.31
Dadra & Nagar Haveli and Daman & Diu,77.7,86.2,91.6,677.0,96.5,22.9,,,,,,,,,,,,,,,,94.0,3.0,12.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,
Goa,70.3,93.0,95.4,3804.0,99.7,39.5,24.0,74.0,66.0,8.0,,24.0,22.0,2.0,20.0,22.0,66.0,239.0,167.0,72.0,,219.0,0.0,24.0,4.0,6.0,0.0,86.0,219.0,,,14.0,24.0,,,3.0,6.0,,,,,,,
Gujarat,79.3,76.9,89.7,1697.0,94.3,21.0,1474.0,1877.0,1692.0,185.0,,1376.0,411.0,127.0,284.0,1249.0,3882.0,4465.0,3901.0,564.0,,9132.0,0.0,1474.0,330.0,344.0,17.0,8448.0,9132.0,,,1361.0,1474.0,,,340.0,344.0,,,64.0,33.0,95.0,4.0,0.14
Haryana,85.2,60.4,91.3,1666.0,94.9,19.5,394.0,791.0,591.0,200.0,,516.0,136.0,33.0,103.0,483.0,1297.0,3263.0,2262.0,1001.0,,2653.0,0.0,394.0,103.0,129.0,2.0,3493.0,2653.0,840.0,24.0,582.0,394.0,188.0,32.0,145.0,129.0,16.0,11.0,94.0,47.0,141.0,6.0,0.22
Himachal Pradesh,72.4,70.3,86.3,3760.0,88.2,21.0,553.0,651.0,501.0,150.0,52.0,372.0,,18.0,,354.0,1204.0,665.0,447.0,218.0,757.0,2114.0,1.0,553.0,17.0,93.0,4.0,1389.0,2114.0,,,229.0,553.0,,,57.0,93.0,,,,,,,
India,70.0,58.1,78.0,2916.0,88.6,21.5,24935.0,39669.0,30640.0,9451.0,776.0,21920.0,13787.0,4485.0,9343.0,17435.0,63295.0,100008.0,79933.0,22014.0,5472.0,,,,,,,193310.0,157935.0,48060.0,25.0,31640.0,24935.0,9742.0,31.0,7894.0,5480.0,2852.0,36.0,,,,,
Jammu & Kashmir,86.6,80.9,84.2,5145.0,92.4,41.7,891.0,1524.0,904.0,620.0,,224.0,228.0,127.0,101.0,97.0,1283.0,1442.0,1149.0,293.0,134.0,2429.0,42.0,891.0,82.0,56.0,23.0,2057.0,2429.0,,,335.0,891.0,,,83.0,56.0,27.0,33.0,,,,,
Jharkhand,68.0,38.6,69.1,2069.0,75.8,12.8,291.0,291.0,285.0,6.0,6.0,684.0,684.0,207.0,477.0,477.0,1488.0,1317.0,1372.0,,116.0,3848.0,0.0,291.0,70.0,171.0,7.0,6998.0,3848.0,3150.0,45.0,1115.0,291.0,824.0,74.0,278.0,171.0,107.0,38.0,82.0,29.0,136.0,6.0,0.2
Karnataka,71.0,70.9,87.4,4954.0,97.0,31.5,2138.0,2492.0,2078.0,414.0,60.0,728.0,461.0,263.0,198.0,465.0,3412.0,5371.0,4858.0,513.0,,8757.0,515.0,2138.0,383.0,182.0,30.0,7997.0,8757.0,,,1313.0,2138.0,,,328.0,182.0,146.0,45.0,73.0,37.0,108.0,3.0,0.12
Kerala,93.6,78.6,93.3,6710.0,99.8,38.9,780.0,1564.0,1503.0,61.0,,844.0,50.0,48.0,2.0,796.0,2257.0,3167.0,2940.0,227.0,,4933.0,479.0,780.0,164.0,211.0,19.0,1893.0,4933.0,,,314.0,780.0,,,78.0,211.0,,,24.0,0.0,50.0,1.0,0.04
Ladakh,85.8,78.4,79.6,3807.0,95.1,37.6,32.0,108.0,54.0,54.0,,28.0,27.0,12.0,15.0,16.0,81.0,53.0,52.0,1.0,29.0,288.0,0.0,32.0,1.0,7.0,0.0,69.0,288.0,,,10.0,32.0,,,2.0,7.0,,,,,,,
