State,ANC_First,ANC_4,PNC_2Days,Delivery_Cost,Institutional_Delivery,CSection_Rate
Andaman & Nicobar Islands,77.1,83.4,88.9,2924.0,99.0,29.9
Andhra Pradesh,81.7,67.5,90.7,3105.0,96.5,42.4
Arunachal Pradesh,53.1,36.5,56.4,9731.0,79.2,14.8
Assam,63.8,50.7,65.3,5415.0,84.1,18.1
Bihar,52.9,25.2,57.3,2848.0,76.2,9.7
Chandigarh,82.3,78.7,90.6,5546.0,96.9,31.3
Chhattisgarh,65.7,60.1,84.0,1833.0,85.7,15.2
Dadra & Nagar Haveli and Daman & Diu,77.7,86.2,91.6,677.0,96.5,22.9
Goa,70.3,93.0,95.4,3804.0,99.7,39.5
Gujarat,79.3,76.9,89.7,1697.0,94.3,21.0
Haryana,85.2,60.4,91.3,1666.0,94.9,19.5
Himachal Pradesh,72.4,70.3,86.3,3760.0,88.2,21.0
India,70.0,58.1,78.0,2916.0,88.6,21.5
Jammu & Kashmir,86.6,80.9,84.2,5145.0,92.4,41.7
Jharkhand,68.0,38.6,69.1,2069.0,75.8,12.8
Karnataka,71.0,70.9,87.4,4954.0,97.0,31.5
Kerala,93.6,78.6,93.3,6710.0,99.8,38.9
Ladakh,85.8,78.4,79.6,3807.0,95.1,37.6
Lakshadweep,99.6,88.3,92.6,2533.0,99.6,31.3
Madhya Pradesh,75.4,57.5,83.5,1619.0,90.7,12.1
Maharashtra,70.9,70.3,85.4,2966.0,94.7,25.4
Manipur,79.9,79.4,73.4,14518.0,79.9,25.6
Meghalaya,53.9,52.2,43.9,3219.0,58.1,8.2
Mizoram,72.7,58.0,68.0,7008.0,85.8,10.8
NCT Delhi,76.4,77.2,85.4,2548.0,91.8,23.6
Nagaland,49.5,20.7,43.9,5778.0,45.7,5.2
Odisha,76.9,78.1,88.4,4139.0,92.2,21.6
Puducherry,82.4,86.9,93.1,3259.0,99.6,36.3
Punjab,68.5,59.3,86.2,3745.0,94.3,38.5
Rajasthan,76.3,55.3,85.3,2102.0,94.9,10.4
Sikkim,63.7,58.4,69.3,8334.0,94.7,32.8
Tamil Nadu,77.4,89.9,93.2,3316.0,99.6,44.9
Telangana,88.5,70.4,87.6,3846.0,97.0,60.7
Tripura,63.2,52.7,71.9,6640.0,89.2,25.1
Uttar Pradesh,62.5,42.4,72.0,2300.0,83.4,13.7
Uttarakhand,68.8,61.8,78.0,3343.0,83.2,20.4
West Bengal,72.6,75.8,68.0,2683.0,91.7,32.6
