State_UT,2022_Required,2022_Sanctioned,2022_InPosition,2022_Vacant,2022_Shortfall
Andhra Pradesh,1142.0,2206,2048,158,*
Arunachal Pradesh,126.0,,129,,*
Assam,920.0,1617,1381,236,*
Bihar,1492.0,3595,1538,2057,*
Chhattisgarh,770.0,967,491,476,279
Goa,24.0,74,66,8,*
Gujarat,1474.0,1877,1692,185,*
Haryana,394.0,791,591,200,*
Himachal Pradesh,553.0,651,501,150,52
Jharkhand,291.0,291,285,6,6
Karnataka,2138.0,2492,2078,414,60
Kerala,780.0,1564,1503,61,*
Madhya Pradesh,1266.0,1946,1631,315,*
Maharashtra,1853.0,3960,3239,721,*
Manipur,74.0,343,308,35,*
Meghalaya,122.0,178,171,7,*
Mizoram,57.0,0,57,*,0
Nagaland,129.0,138,130,8,*
Odisha,1288.0,1333,990,343,298
Punjab,422.0,607,418,189,4
Rajasthan,2133.0,2466,2150,316,*
Sikkim,24.0,39,38,1,*
Tamil Nadu,1422.0,2986,2722,264,*
Telangana,578.0,1162,802,360,*
Tripura,108.0,,236,,*
Uttarakhand,531.0,623,483,140,48
Uttar Pradesh,2919.0,4448,2890,1558,29
West Bengal,915.0,1538,975,563,*
A & N Islands,22.0,53,50,3,*
Chandigarh,0.0,N App,N App,N App,N App
D & N Haveli,12.0,16,16,0,*
Daman & Diu,,,,,
Delhi,5.0,19,16,3,*
Jammu & Kashmir,891.0,1524,904,620,*
Ladakh,32.0,108,54,54,*
Lakshadweep,4.0,12,12,0,*
Puducherry,24.0,45,45,0,*
All India Total,24935.0,39669,30640,9451,776
