State_UT,2022_Required,2022_Sanctioned,2022_InPosition,2022_Vacant,2022_Shortfall
Andhra Pradesh,2115.0,4630,3949,681,*
Arunachal Pradesh,525.0,,692,,*
Assam,2124.0,3484,3563,*,*
Bihar,3375.0,8223,4956,3267,*
Chhattisgarh,1939.0,4233,3144,1089,*
Goa,66.0,239,167,72,*
Gujarat,3882.0,4465,3901,564,*
Haryana,1297.0,3263,2262,1001,*
Himachal Pradesh,1204.0,665,447,218,757
Jharkhand,1488.0,1317,1372,*,116
Karnataka,3412.0,5371,4858,513,*
Kerala,2257.0,3167,2940,227,*
Madhya Pradesh,3590.0,4612,4649,*,*
Maharashtra,3645.0,4117,3172,945,473
Manipur,130.0,463,405,58,*
Meghalaya,318.0,749,799,*,*
Mizoram,120.0,0,213,*,*
Nagaland,290.0,321,423,*,*
Odisha,3927.0,5667,2642,3025,1285
Punjab,1472.0,2917,1854,1063,*
Rajasthan,6445.0,11358,9283,2075,*
Sikkim,38.0,141,145,*,*
Tamil Nadu,4117.0,8852,7911,941,*
Telangana,774.0,2094,1583,511,*
Tripura,255.0,,683,,*
Uttarakhand,895.0,718,351,367,544
Uttar Pradesh,8722.0,11684,6588,5096,2134
West Bengal,3351.0,5331,5340,*,*
A & N Islands,50.0,158,151,7,*
Chandigarh,0.0,N App,N App,N App,N App
D & N Haveli,33.0,89,89,0,*
Daman & Diu,,,,,
Delhi,5.0,6,6,0,*
Jammu & Kashmir,1283.0,1442,1149,293,134
Ladakh,81.0,53,52,1,29
Lakshadweep,25.0,46,46,0,*
Puducherry,45.0,133,148,*,*
All India Total,63295.0,100008,79933,22014,5472
