State_UT,2022_Required,2022_Sanctioned,2022_InPosition,2022_Vacant,2022_Shortfall
Andhra Pradesh,556.0,408,264,144,292
Arunachal Pradesh,228.0,,11,,217
Assam,688.0,267,179,88,509
Bihar,1076.0,1281,322,959,754
Chhattisgarh,668.0,616,66,550,602
Goa,24.0,22,2,20,22
Gujarat,1376.0,411,127,284,1249
Haryana,516.0,136,33,103,483
Himachal Pradesh,372.0,,18,,354
Jharkhand,684.0,684,207,477,477
Karnataka,728.0,461,263,198,465
Kerala,844.0,50,48,2,796
Madhya Pradesh,1328.0,1193,66,1127,1262
Maharashtra,1024.0,452,313,139,711
Manipur,32.0,32,18,14,14
Meghalaya,112.0,5,5,0,107
Mizoram,36.0,0,0,0,36
Nagaland,92.0,,9,,83
Odisha,1508.0,1512,306,1206,1202
Punjab,600.0,577,151,426,449
Rajasthan,2464.0,1555,525,1030,1939
Sikkim,8.0,0,0,0,8
Tamil Nadu,1540.0,337,249,88,1291
Telangana,112.0,112,98,14,14
Tripura,84.0,,3,,81
Uttarakhand,208.0,162,36,126,172
Uttar Pradesh,3316.0,2946,918,2028,2398
West Bengal,1392.0,289,97,192,1295
A & N Islands,16.0,16,4,12,12
Chandigarh,0.0,N App,N App,N App,N App
D & N Haveli,12.0,0,0,0,12
Daman & Diu,,,,,
Delhi,0.0,N App,N App,N App,N App
Jammu & Kashmir,224.0,228,127,101,97
Ladakh,28.0,27,12,15,16
Lakshadweep,12.0,8,8,0,4
Puducherry,12.0,0,0,0,12
All India Total,21920.0,13787,4485,9343,17435
