S_No,State_UT,BirthRate_Total,BirthRate_Rural,BirthRate_Urban,DeathRate_Total,DeathRate_Rural,DeathRate_Urban
1,Andhra Pradesh,15.7,16.0,15.0,6.3,7.0,4.9
2,Arunachal Pradesh,17.3,17.8,15.0,5.7,5.9,4.4
3,Assam,20.8,21.9,14.3,6.2,6.4,5.4
4,Bihar,25.5,26.2,21.0,5.4,5.5,5.2
5,Chhattisgarh,22.0,23.4,17.3,7.9,8.4,6.3
6,Goa,12.1,11.7,12.4,5.9,6.3,5.5
7,Gujarat,19.3,21.1,17.1,5.6,6.0,5.0
8,Haryana,19.9,21.2,17.7,6.1,6.5,5.5
9,Himachal Pradesh,15.3,15.7,10.0,6.8,7.0,4.4
10,Jharkhand,22.0,23.4,17.6,5.2,5.5,4.5
11,Karnataka,16.5,17.5,15.0,6.2,7.1,4.8
12,Kerala,13.2,13.1,13.3,7.0,7.0,7.1
13,Madhya Pradesh,24.1,26.0,18.8,6.5,6.8,5.6
14,Maharashtra,15.0,15.3,14.6,5.5,6.2,4.6
15,Manipur,13.3,13.5,12.8,4.3,4.0,4.8
16,Meghalaya,22.9,25.1,12.9,5.3,5.5,4.4
17,Mizoram,14.4,16.8,11.7,4.2,3.8,4.6
18,Nagaland,12.5,12.9,11.8,3.7,3.9,3.5
19,Odisha,17.7,18.7,13.1,7.3,7.5,6.5
20,Punjab,14.3,14.9,13.6,7.2,8.3,5.7
21,Rajasthan,23.5,24.4,20.8,5.6,5.8,5.1
22,Sikkim,15.6,14.0,18.2,4.1,4.3,3.7
23,Tamil Nadu,13.8,14.0,13.6,6.1,7.2,5.1
24,Telangana,16.4,16.8,15.9,6.0,7.2,4.2
25,Tripura,12.6,13.4,10.7,5.7,5.4,6.5
26,Uttarakhand,16.6,17.0,15.6,6.3,6.7,5.1
27,Uttar Pradesh,25.1,26.1,22.1,6.5,6.8,5.4
28,West Bengal,14.6,16.1,11.2,5.5,5.3,5.8
29,Andaman & Nicobar Islands,10.8,11.5,10.0,5.8,6.8,4.5
30,Chandigarh,12.9,18.1,12.8,3.9,4.0,3.8
31,Dadra & Nagar Haveli and Daman & Diu,20.3,18.0,21.4,3.7,4.7,3.3
32,Delhi,14.2,15.5,14.1,3.6,4.1,3.5
33,Jammu & Kashmir,14.6,16.1,11.1,4.6,4.9,4.1
34,Ladakh,14.3,15.2,10.8,5.0,5.2,4.4
35,Lakshadweep,14.5,19.9,13.1,5.4,7.2,5.0
36,Puducherry,13.1,13.1,13.1,6.5,7.5,6.1
,All India,19.5,21.1,16.1,6.0,6.4,5.1
