S_No,State_UT,2005_Required,2005_Sanctioned,2005_InPosition,2005_Vacant,2005_Shortfall,2022_Required,2022_Sanctioned,2022_InPosition,2022_Vacant,2022_Shortfall
1,Andhra Pradesh,1570,2497,2137,360,*,1142,2206,2048,158,*
2,Arunachal Pradesh,85,78,78,0,7,126,NA,129,NA,*
3,Assam,610,NA,NA,NA,NA,920,1617,1381,236,*
4,Bihar,1648,NA,NA,NA,NA,1492,3595,1538,2057,*
5,Chhattisgarh,517,1034,628,406,*,770,967,491,476,279
6,Goa,19,56,53,3,*,24,74,66,8,*
7,Gujarat,1070,1070,848,222,222,1474,1877,1692,185,*
8,Haryana,408,862,862,0,*,394,791,591,200,*
9,Himachal Pradesh,439,354,467,*,*,553,651,501,150,52
10,Jharkhand,561,NA,NA,NA,NA,291,291,285,6,6
11,Karnataka,1681,2237,2041,196,*,2138,2492,2078,414,60
12,Kerala,911,1345,949,396,*,780,1564,1503,61,*
13,Madhya Pradesh,1192,1278,839,439,353,1266,1946,1631,315,*
14,Maharashtra,1780,3157,3158,*,*,1853,3960,3239,721,*
15,Manipur,72,95,67,28,5,74,343,308,35,*
16,Meghalaya,101,127,123,4,*,122,178,171,7,*
17,Mizoram,57,57,35,22,22,57,0,57,*,0
18,Nagaland,87,53,53,0,34,129,138,130,8,*
19,Odisha,1282,1353,1353,0,*,1288,1333,990,343,298
20,Punjab,484,646,373,273,111,422,607,418,189,4
21,Rajasthan,1713,1517,1506,11,207,2133,2466,2150,316,*
22,Sikkim,24,48,48,0,*,24,39,38,1,*
23,Tamil Nadu,1380,3806,2257,1549,*,1422,2986,2722,264,*
24,Telangana,-,-,-,-,-,578,1162,802,360,*
25,Tripura,73,161,152,9,*,108,NA,236,NA,*
26,Uttarakhand,225,272,182,90,43,531,623,483,140,48
27,Uttar Pradesh,3660,NA,NA,NA,NA,2919,4448,2890,1558,29
28,West Bengal,1173,1560,1319,241,*,915,1538,975,563,*
29,A & N Islands,20,36,36,0,*,22,53,50,3,*
30,Chandigarh,0,0,0,0,0,0,N App,N App,N App,N App
31,D & N Haveli,6,6,6,0,0,12,16,16,0,*
32,Daman & Diu,3,5,5,0,*,,,,,
33,Delhi,8,31,23,8,*,5,19,16,3,*
34,Jammu & Kashmir,334,668,643,25,*,891,1524,904,620,*
35,Ladakh,-,-,-,-,-,32,108,54,54,*
36,Lakshadweep,4,4,4,0,0,4,12,12,0,*
37,Puducherry,39,63,63,0,*,24,45,45,0,*
,All India Total,23236,24476,20308,4282,1004,24935,39669,30640,9451,776
