S_No,State_UT,Est_MidYear_Pop_Rural,Est_MidYear_Pop_Tribal,SC_Required,SC_InPosition,SC_Shortfall,SC_PctShortfall,PHC_Required,PHC_InPosition,PHC_Shortfall,PHC_PctShortfall,CHC_Required,CHC_InPosition,CHC_Shortfall,CHC_PctShortfall
1,Andhra Pradesh,33904000,2235578,7078,11073,*,*,1167,1142,25,2,291,139,152,52
2,Arunachal Pradesh,1156000,856243,345,355,*,*,52,126,*,*,13,57,*,*
3,Assam,29996000,4101442,6546,4667,1879,29,1068,920,148,14,267,172,95,36
4,Bihar,110184000,1516410,22238,9375,12863,58,3698,1492,2206,60,924,269,655,71
5,Chhattisgarh,21892000,8073397,5454,5124,330,6,864,770,94,11,216,167,49,23
6,Goa,390000,61949,86,219,*,*,14,24,*,*,3,6,*,*
7,Gujarat,36601000,8462631,8448,9132,*,*,1361,1474,*,*,340,344,*,*
8,Haryana,17469000,0,3493,2653,840,24,582,394,188,32,145,129,16,11
9,Himachal Pradesh,6677000,404760,1389,2114,*,*,229,553,*,*,57,93,*,*
10,Jharkhand,28936000,9086894,6998,3848,3150,45,1115,291,824,74,278,171,107,38
11,Karnataka,37689000,3449898,7997,8757,*,*,1313,2138,*,*,328,182,146,45
12,Kerala,9312000,230835,1893,4933,*,*,314,780,*,*,78,211,*,*
13,Madhya Pradesh,61051000,16584104,14421,10287,4134,29,2311,1266,1045,45,577,332,245,42
14,Maharashtra,64945000,9501900,14255,10673,3582,25,2323,1853,470,20,580,256,324,56
15,Manipur,2168000,848401,546,393,153,28,86,74,12,14,21,8,13,62
16,Meghalaya,2640000,2378890,845,459,386,46,127,122,5,4,31,28,3,10
17,Mizoram,555000,536021,182,300,*,*,27,57,*,*,6,9,*,*
18,Nagaland,1222000,1134576,395,434,*,*,59,129,*,*,14,23,*,*
19,Odisha,37461000,9635546,8776,6688,2088,24,1409,1288,121,9,352,377,*,*
20,Punjab,17876000,0,3575,2951,624,17,595,422,173,29,148,150,*,*
21,Rajasthan,59111000,9977780,13152,13523,*,*,2136,2133,3,0,534,616,*,*
22,Sikkim,357000,130572,88,147,*,*,14,24,*,*,3,2,1,33
23,Tamil Nadu,35757000,634163,7235,8713,*,*,1202,1422,*,*,300,385,*,*
24,Telangana,20076000,2733521,4379,4229,150,3,714,578,136,19,178,28,150,84
25,Tripura,2533000,1043625,645,956,*,*,101,108,*,*,25,21,4,16
26,Uttarakhand,7445000,280175,1526,1785,*,*,252,531,*,*,63,52,11,17
27,Uttar Pradesh,178073000,1182140,35772,20781,14991,42,5955,2919,3036,51,1488,829,659,44
28,West Bengal,62707000,4896019,13194,10357,2837,22,2171,915,1256,58,542,348,194,36
29,A & N Islands,226000,25465,48,124,*,*,7,22,*,*,1,4,*,*
30,Chandigarh,1000,0,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App
31,D & N Haveli and Daman & Diu,235000,153009,67,94,*,*,10,12,*,*,2,3,*,*
32,Delhi,105000,0,21,12,9,43,3,5,*,*,0,0,0,0
33,Jammu & Kashmir,9427000,1291499,2057,2429,*,*,335,891,*,*,83,56,27,33
34,Ladakh,208000,208000,69,288,*,*,10,32,*,*,2,7,*,*
35,Lakshadweep,2000,1904,0,9,*,*,0,4,*,*,0,3,*,*
36,Puducherry,485000,0,97,53,44,45,16,24,*,*,4,3,1,25
,All India Total,898870000,101657344,193310,157935,48060,25,31640,24935,9742,31,7894,5480,2852,36
