S_No,State_UT,2005_Required,2005_Sanctioned,2005_InPosition,2005_Vacant,2005_Shortfall,2022_Required,2022_Sanctioned,2022_InPosition,2022_Vacant,2022_Shortfall
1,Andhra Pradesh,2718,2309,2053,256,665,2115,4630,3949,681,*
2,Arunachal Pradesh,302,105,105,0,197,525,NA,692,NA,*
3,Assam,1310,NA,NA,NA,NA,2124,3484,3563,*,*
4,Bihar,2355,NA,NA,NA,NA,3375,8223,4956,3267,*
5,Chhattisgarh,1329,601,540,61,789,1939,4233,3144,1089,*
6,Goa,54,129,119,10,*,66,239,167,72,*
7,Gujarat,2974,2769,1453,1316,1521,3882,4465,3901,564,*
8,Haryana,912,1530,1160,370,*,1297,3263,2262,1001,*
9,Himachal Pradesh,901,1540,1259,281,*,1204,665,447,218,757
10,Jharkhand,890,NA,NA,NA,NA,1488,1317,1372,*,116
11,Karnataka,3459,3229,3100,129,359,3412,5371,4858,513,*
12,Kerala,1653,2811,2578,233,*,2257,3167,2940,227,*
13,Madhya Pradesh,2795,908,902,6,1893,3590,4612,4649,*,*
14,Maharashtra,4454,2766,2575,191,1879,3645,4117,3172,945,473
15,Manipur,184,83,62,21,122,130,463,405,58,*
16,Meghalaya,269,355,263,92,6,318,749,799,*,*
17,Mizoram,120,270,122,148,*,120,0,213,*,*
18,Nagaland,234,520,520,0,*,290,321,423,*,*
19,Odisha,2899,657,637,20,2262,3927,5667,2642,3025,1285
20,Punjab,1296,697,640,57,656,1472,2917,1854,1063,*
21,Rajasthan,3995,9891,8425,1466,*,6445,11358,9283,2075,*
22,Sikkim,52,45,45,0,7,38,141,145,*,*
23,Tamil Nadu,1625,167,167,0,1458,4117,8852,7911,941,*
24,Telangana,-,-,-,-,-,774,2094,1583,511,*
25,Tripura,143,125,274,*,*,255,NA,683,NA,*
26,Uttarakhand,533,145,129,16,404,895,718,351,367,544
27,Uttar Pradesh,6362,NA,NA,NA,NA,8722,11684,6588,5096,2134
28,West Bengal,1838,1901,1479,422,359,3351,5331,5340,*,*
29,A & N Islands,48,108,108,0,*,50,158,151,7,*
30,Chandigarh,7,13,13,0,*,0,N App,N App,N App,N App
31,D & N Haveli,13,12,10,2,3,33,89,89,0,*
32,Daman & Diu,10,12,12,0,*,,,,,
33,Delhi,8,10,4,6,4,5,6,6,0,*
34,Jammu & Kashmir,824,244,68,176,756,1283,1442,1149,293,134
35,Ladakh,-,-,-,-,-,81,53,52,1,29
36,Lakshadweep,25,13,13,0,12,25,46,46,0,*
37,Puducherry,67,96,95,1,*,45,133,148,*,*
,All India Total,46658,34061,28930,5280,13352,63295,100008,79933,22014,5472
