S_No,State_UT,2005_Required,2005_Sanctioned,2005_InPosition,2005_Vacant,2005_Shortfall,2022_Required,2022_Sanctioned,2022_InPosition,2022_Vacant,2022_Shortfall
1,Andhra Pradesh,656,406,224,182,432,556,408,264,144,292
2,Arunachal Pradesh,124,4,0,4,124,228,NA,11,NA,217
3,Assam,400,NA,NA,NA,NA,688,267,179,88,509
4,Bihar,404,NA,NA,NA,NA,1076,1281,322,959,754
5,Chhattisgarh,464,464,18,446,446,668,616,66,550,602
6,Goa,20,14,7,7,13,24,22,2,20,22
7,Gujarat,1088,321,92,229,996,1376,411,127,284,1249
8,Haryana,288,288,49,239,239,516,136,33,103,483
9,Himachal Pradesh,264,NA,NA,NA,NA,372,NA,18,NA,354
10,Jharkhand,188,NA,NA,NA,NA,684,684,207,477,477
11,Karnataka,1016,843,691,152,325,728,461,263,198,465
12,Kerala,424,424,82,342,342,844,50,48,2,796
13,Madhya Pradesh,916,253,49,204,867,1328,1193,66,1127,1262
14,Maharashtra,1528,1987,1099,888,429,1024,452,313,139,711
15,Manipur,64,40,19,21,45,32,32,18,14,14
16,Meghalaya,96,1,1,0,95,112,5,5,0,107
17,Mizoram,36,0,0,0,36,36,0,0,0,36
18,Nagaland,84,0,0,0,84,92,NA,9,NA,83
19,Odisha,924,496,NA,NA,NA,1508,1512,306,1206,1202
20,Punjab,464,393,226,167,238,600,577,151,426,449
21,Rajasthan,1304,811,581,230,723,2464,1555,525,1030,1939
22,Sikkim,16,16,4,12,12,8,0,0,0,8
23,Tamil Nadu,140,48,48,0,92,1540,337,249,88,1291
24,Telangana,-,-,-,-,-,112,112,98,14,14
25,Tripura,40,2,2,0,38,84,NA,3,NA,81
26,Uttarakhand,176,163,71,92,105,208,162,36,126,172
27,Uttar Pradesh,1544,NA,NA,NA,NA,3316,2946,918,2028,2398
28,West Bengal,380,310,133,177,247,1392,289,97,192,1295
29,A & N Islands,16,12,0,12,16,16,16,4,12,12
30,Chandigarh,4,4,4,0,0,0,N App,N App,N App,N App
31,D & N Haveli,4,2,2,0,2,12,0,0,0,12
32,Daman & Diu,4,0,0,0,4,,,,,
33,Delhi,0,0,0,0,0,0,N App,N App,N App,N App
34,Jammu & Kashmir,280,276,142,134,138,224,228,127,101,97
35,Ladakh,-,-,-,-,-,28,27,12,15,16
36,Lakshadweep,12,0,0,0,12,12,8,8,0,4
37,Puducherry,16,4,6,*,10,12,0,0,0,12
,All India Total,13384,7582,3550,3538,6110,21920,13787,4485,9343,17435
