State,ANC_First,ANC_4,PNC_2Days,Delivery_Cost,Institutional_Delivery,CSection_Rate,Doctors_Required,Doctors_Sanctioned,Doctors_InPosition,Doctors_Vacant,Doctors_Shortfall,Specialists_Required,Specialists_Sanctioned,Specialists_InPosition,Specialists_Vacant,Specialists_Shortfall,Nursing_Required,Nursing_Sanctioned,Nursing_InPosition,Nursing_Vacant,Nursing_Shortfall,SubCentres_Rural,SubCentres_Urban,PHCs_Rural,PHCs_Urban,CHCs_Rural,CHCs_Urban,SC_Required,SC_InPosition,SC_Shortfall,SC_PctShortfall,PHC_Required,PHC_InPosition,PHC_Shortfall,PHC_PctShortfall,CHC_Required,CHC_InPosition,CHC_Shortfall,CHC_PctShortfall,MMR,CI_Lower,CI_Upper,Maternal_Mortality_Rate,Lifetime_Risk_Pct
Andaman & Nicobar Islands,77.1,83.4,88.9,2924.0,99.0,29.9,22.0,53,50,3,,16.0,16,4,12,12,50.0,158,151,7,,124.0,0.0,22.0,5.0,4.0,0.0,48,124,,,7,22,,,1,4,,,,,,,
Andhra Pradesh,81.7,67.5,90.7,3105.0,96.5,42.4,1142.0,2206,2048,158,,556.0,408,264,144,292,2115.0,4630,3949,681,,11073.0,407.0,1142.0,547.0,139.0,42.0,7078,11073,,,1167,1142,25,2,291,139,152,52,39.0,9.0,69.0,2.0,0.07
Arunachal Pradesh,53.1,36.5,56.4,9731.0,79.2,14.8,126.0,,129,,,228.0,,11,,217,525.0,,692,,,355.0,12.0,126.0,5.0,57.0,0.0,345,355,,,52,126,,,13,57,,,,,,,
Assam,63.8,50.7,65.3,5415.0,84.1,18.1,920.0,1617,1381,236,,688.0,267,179,88,509,2124.0,3484,3563,,,4667.0,34.0,920.0,90.0,172.0,29.0,6546,4667,1879,29,1068,920,148,14,267,172,95,36,84.0,35.0,134.0,5.0,0.17
Bihar,52.9,25.2,57.3,2848.0,76.2,9.7,1492.0,3595,1538,2057,,1076.0,1281,322,959,754,3375.0,8223,4956,3267,,9375.0,1024.0,1492.0,268.0,269.0,32.0,22238,9375,12863,58,3698,1492,2206,60,924,269,655,71,96.0,62.0,130.0,9.0,0.32
Chandigarh,82.3,78.7,90.6,5546.0,96.9,31.3,0.0,N App,N App,N App,N App,0.0,N App,N App,N App,N App,0.0,N App,N App,N App,N App,0.0,0.0,0.0,43.0,0.0,2.0,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App,,,,,
Chhattisgarh,65.7,60.1,84.0,1833.0,85.7,15.2,770.0,967,491,476,279,668.0,616,66,550,602,1939.0,4233,3144,1089,,5124.0,370.0,770.0,52.0,167.0,3.0,5454,5124,330,6,864,770,94,11,216,167,49,23,124.0,48.0,199.0,9.0,0.31
Dadra & Nagar Haveli and Daman & Diu,77.7,86.2,91.6,677.0,96.5,22.9,,,,,,,,,,,,,,,,94.0,3.0,12.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,
Goa,70.3,93.0,95.4,3804.0,99.7,39.5,24.0,74,66,8,,24.0,22,2,20,22,66.0,239,167,72,,219.0,0.0,24.0,4.0,6.0,0.0,86,219,,,14,24,,,3,6,,,,,,,
Gujarat,79.3,76.9,89.7,1697.0,94.3,21.0,1474.0,1877,1692,185,,1376.0,411,127,284,1249,3882.0,4465,3901,564,,9132.0,0.0,1474.0,330.0,344.0,17.0,8448,9132,,,1361,1474,,,340,344,,,64.0,33.0,95.0,4.0,0.14
